Title,Genre,Duration,Rating,Voting
The Long Game,Thriller,1h 28m,7.8,52
We Are Wolves,Thriller,1h 37m,3.5,255
Dead Mail,Thriller,1h 46m,6.7,279
Strangers,Thriller,1h 46m,4.3,369
Sharp Corner,Thriller,1h 50m,7.3,75
Escape,Thriller,2h 9m,6.3,457
Previously Saved Version,Thriller,1h 57m,5.4,394
Wanted Man,Thriller,1h 25m,4.8,2.5K
Sew Torn,Thriller,1h 40m,6.7,188
Hard Home,Thriller,1h 27m,4,523
Maid Droid Origins,Thriller,1h 36m,2.9,307
Disciples in the Moonlight,Thriller,2h 6m,3.8,625
Reawakening,Thriller,1h 30m,6.3,249
Saint Clare,Thriller,1h 32m,7.6,87
Viduthalai Part 2,Thriller,2h 50m,8,15K
Thalavan,Thriller,2h 11m,7.2,4.4K
Yodha,Thriller,2h 10m,5.7,8.8K
The Last Front,Thriller,1h 38m,5.5,596
Haunted Heart,Thriller,2h 8m,4.8,450
Spring Garden,Thriller,1h 30m,4.4,154
Butas,Thriller,1h 52m,4.8,125
Despatch,Thriller,2h 33m,4.4,4.4K
Blink,Thriller,2h 16m,7,1.5K
Last Known Location,Thriller,1h 50m,6.3,1.3K
Black,Thriller,1h 55m,7.1,2.7K
Went Up the Hill,Thriller,1h 40m,6.9,75
How to Make a Killing,Thriller,1h 49m,6.6,671
Beacon,Thriller,1h 36m,5.8,392
Succubus,Thriller,1h 36m,3.5,827
Saripodhaa Sanivaaram,Thriller,2h 46m,7,8.8K
Please Don't Feed the Children,Thriller,1h 34m,5.5,66
Don't Mess with Grandma,Thriller,1h 21m,6.1,141
Maldoror,Thriller,2h 35m,7.1,530
Why Do You?,Thriller,1h 43m,5.4,392
Kanguva,Thriller,2h 32m,4.6,14K
Fluxx,Thriller,N/A,7.8,38
Anweshippin Kandethum,Thriller,2h 22m,7.4,10K
Hijack '93,Thriller,1h 27m,3.8,837
Protocol-7,Thriller,1h 38m,4.9,259
Junction,Thriller,1h 38m,5.2,308
Black Eyed Susan,Thriller,1h 25m,5,301
Vedaa,Thriller,2h 25m,6,4.2K
What Happened to Suzy,Thriller,1h 34m,6.6,58
The Kingdom,Thriller,1h 48m,7,615
Rogue Elements: A Ryan Drake Story,Thriller,44m,4.9,911
Witch,Thriller,1h 47m,5.1,1.4K
12 to Midnight,Thriller,1h 36m,3.6,270
She Came Back,Thriller,1h 23m,5.4,84
Frankenstein: Legacy,Thriller,1h 41m,3.6,197
Cadi,Thriller,2h 14m,6.3,4.3K
Ballot,Thriller,1h 42m,6.3,204
Roadkill,Thriller,1h 30m,3.6,671
They Whisper,Thriller,1h 30m,5.1,50
Love Bomb,Thriller,1h 15m,3,250
All the Lost Ones,Thriller,1h 45m,3.8,225
Kidnapping Inc.,Thriller,1h 47m,6.6,223
Sweet Simona,Thriller,1h 28m,5.3,132
Shark Warning,Thriller,1h 34m,3.4,245
Blue Lock: Episode Nagi,Thriller,1h 31m,6.6,2.4K
From Embers,Thriller,1h 39m,4.8,127
"Pooja, Sir",Thriller,1h 55m,6.4,708
Eat the Night,Thriller,1h 46m,6.2,408
Bionic,Thriller,1h 50m,4.3,1.7K
Stranger in the Woods,Thriller,1h 22m,3.5,1.3K
ClearMind,Thriller,1h 25m,4.1,2.2K
Seeds,Thriller,1h 22m,6.7,55
Martin,Thriller,2h 27m,2.3,36K
Rest in Peace,Thriller,1h 45m,5.8,2.3K
Kuang Bao Ju Xi,Thriller,1h 15m,6.2,66
Bade Miyan Chote Miyan,Thriller,2h 43m,3.8,39K
Suckers,Thriller,1h 7m,3.2,116
Hunting with Tigers,Thriller,1h 49m,5.6,500
The Corpse Washer,Thriller,1h 47m,6.2,1.1K
Belle,Thriller,1h 40m,5.8,13
Altered Reality,Thriller,1h 39m,6.2,63
The Manifestation,Thriller,1h 24m,3.6,177
Legally Veer,Thriller,2h 22m,8.1,4.7K
Lioness,Thriller,1h 44m,7.9,152
Serpent's Path,Thriller,1h 52m,5.8,272
Drone,Thriller,1h 50m,5.5,178
40 Acres,Thriller,1h 53m,6.3,96
Seven Cemeteries,Thriller,1h 24m,4.4,486
Lost Angels,Thriller,1h 36m,7.7,17
Go Away,Thriller,N/A,4.3,168
Unexposed,Thriller,1h 3m,7.6,61
Thiru.Manickam,Thriller,2h 2m,8.8,2.5K
From Darkness,Thriller,1h 35m,5,542
La Familia,Thriller,N/A,7.5,33
Cora,Thriller,1h 40m,4.7,783
Bone Lake,Thriller,1h 34m,6.9,41
The Correspondent,Thriller,1h 59m,8.6,10
A Desert,Thriller,1h 43m,6.3,151
Merry Christmas,Thriller,2h 24m,6.9,30K
S.T.A.L.K.E.R.: Shadow of the Zone,Thriller,1h 12m,5.2,446
Hellhound,Thriller,1h 43m,4.3,481
Possession: Kerasukan,Thriller,1h 34m,3.5,271
Deadly Invitations,Thriller,1h 29m,4.2,177
Blackout,Thriller,2h 2m,6.1,10K
Somnium,Thriller,1h 32m,8.6,38
Tacoma,Thriller,1h 43m,3.5,166
Balestra,Thriller,2h 25m,5.1,503
The Death That Awaits,Thriller,1h 42m,6.1,562
Salawahan,Thriller,1h 56m,4.3,193
Boksi Ko Ghar,Thriller,1h 56m,8,835
Unit 234,Thriller,1h 26m,5.5,272
Scorched Earth,Thriller,1h 41m,6.7,495
Visfot,Thriller,2h 10m,5.7,1.1K
Amp House Massacre,Thriller,1h 20m,3.9,164
Stranger Eyes,Thriller,2h 5m,6.5,255
Agastya - Chapter 1,Thriller,2h 48m,6.9,576
Grassland,Thriller,1h 28m,8.8,54
Following,Thriller,1h 42m,6.4,1.2K
The Day Everything Changed,Thriller,1h 37m,7.9,77
The Haunted Apartment,Thriller,1h 43m,7.4,74
Curse of the Seven Oceans,Thriller,1h 34m,5.8,134
The Path,Thriller,N/A,7.3,75
Broken Innocence,Thriller,N/A,5.2,339
Phir Aayi Hasseen Dillruba,Thriller,2h 12m,5.8,6.7K
Remnant,Thriller,1h 52m,2.7,312
In Flight,Thriller,N/A,4.8,56
In Our Blood,Thriller,1h 29m,6.8,44
I Am Kathalan,Thriller,1h 55m,6.8,969
Once Upon a Time in Hollyweird,Thriller,1h 30m,2,147
Zebra,Thriller,2h 44m,8,3.2K
Bangkok Breaking: Heaven and Hell,Thriller,2h 26m,5.8,651
Gazer,Thriller,1h 54m,6.4,96
The Windigo,Thriller,1h 25m,5,621
Last Night at Terrace Lanes,Thriller,1h 15m,4.3,611
The Actor,Thriller,2h 8m,3.3,720
Indian 2,Thriller,N/A,3.9,16K
The Wingwalker,Thriller,1h 57m,7.1,169
Crakk: Jeetega... Toh Jiyegaa,Thriller,2h 34m,4.7,6.4K
Captain Miller,Thriller,2h 37m,6.5,8.6K
Siren,Thriller,2h 34m,6.4,2.9K
Bhoothaddam Bhaskar Narayana,Thriller,2h 21m,6.3,259
Chapel,Thriller,1h 32m,3.3,169
Borderless Fog,Thriller,1h 50m,5.2,1.3K
The Hunted,Thriller,1h 34m,5.1,363
The Shameless,Thriller,1h 54m,5.6,186
Miki,Thriller,1h 46m,6.6,931
Texas Cult House,Thriller,N/A,8.2,21
The School Duel,Thriller,1h 30m,9,52
The Lady of the Lake,Thriller,1h 27m,2.5,181
Yudhra,Thriller,2h 22m,5,13K
Transplant,Thriller,1h 33m,8.2,16
Spithood,Thriller,58m,5.8,1.1K
Mr. Bachchan,Thriller,2h 30m,3.6,5.2K
Sorgavaasal,Thriller,2h 18m,6.6,1.3K
