Title,Genre,Duration,Rating,Voting
Dead Boys Club,Mystery,1h 45m,6.1,24
Ithuvare,Mystery,2h 9m,5.5,25
Leatherbound,Mystery,N/A,8,8
The Victims,Mystery,1h 39m,5.9,80
El Portal,Mystery,N/A,N/A,N/A
In Unison,Mystery,1h 40m,N/A,N/A
Strangers,Mystery,1h 39m,7,6
Into the Box,Mystery,1h 36m,6.5,7
Los Alamos,Mystery,1h 31m,N/A,N/A
Sanak,Mystery,2h 33m,8.7,8
The Burned Hand,Mystery,1h 25m,8,12
Malam Keramat,Mystery,1h 30m,6.1,26
Guadalupe: Mother of Humanity,Mystery,1h 42m,7.2,38
"I'm Okay, We're Okay",Mystery,1h 47m,N/A,N/A
Fragmentos de Olvido,Mystery,1h 34m,N/A,N/A
Satham Indri Mutham Tha,Mystery,1h 47m,7.4,1.2K
What Lies Within,Mystery,1h 30m,5.2,12
Danger Zone,Mystery,2h 2m,8.4,5
Giant fish,Mystery,1h 24m,N/A,N/A
Problematic Intentions,Mystery,1h 30m,4.8,14
Odile: Opening before Christmas,Mystery,N/A,7,16
Sragaal,Mystery,2h 20m,8.4,19
Ellige Payana Yavudo Daari,Mystery,2h 14m,8.6,255
Entre Paris et Leuven,Mystery,1h 47m,N/A,N/A
The Veyshal Movie,Mystery,2h,N/A,N/A
Aliens Uncovered: UFOs Over Arizona,Mystery,1h 56m,8.4,16
Chandranum Policeum,Mystery,1h 53m,8.6,578
Bigul,Mystery,2h 24m,9.2,45
Xiang Xi Gui Shi,Mystery,1h 12m,N/A,N/A
Secret,Mystery,1h 59m,3.8,758
Kadhai,Mystery,1h 40m,9.2,32
The Film Lost to Time,Mystery,1h 15m,N/A,N/A
The Director's Cut,Mystery,1h 22m,4.6,13
Churul,Mystery,1h 44m,9.2,194
Creatures of Habit,Mystery,N/A,N/A,N/A
Dream Thief,Mystery,N/A,N/A,N/A
Strange Magick,Mystery,1h 28m,N/A,N/A
Night Demon,Mystery,1h,N/A,N/A
Case 19: Vichchhiya,Mystery,51m,N/A,N/A
Saka Perawan,Mystery,1h 31m,5,53
First Person Savior,Mystery,1h 21m,4.9,11
Kinoplenka N8,Mystery,1h 50m,4.2,52
Artificial Evil Awakens,Mystery,1h 3m,9.1,9
AusWeg,Mystery,N/A,8.9,38
A Coffin of Stars,Mystery,1h 40m,N/A,N/A
Darah Nyai,Mystery,1h 30m,N/A,N/A
Joy Hanu Man,Mystery,2h 23m,8.9,25
Bahirbhoomi,Mystery,2h,5.6,1.1K
Blue Caveman,Mystery,N/A,N/A,N/A
Ramuvinte Manaivikal,Mystery,1h 56m,N/A,N/A
Tranquility: Ghost Stories,Mystery,1h 28m,7.6,53
The Man,Mystery,1h 4m,N/A,N/A
Cose nere,Mystery,1h 23m,N/A,N/A
Katabasis,Mystery,N/A,8.2,23
