Title,Genre,Duration,Rating,Voting
Believe in Christmas,Comedy,1h 30m,6.1,817
Meet the Barbarians,Comedy,1h 41m,6.6,410
Ballot,Comedy,1h 42m,6.3,204
Mission: Cross,Comedy,1h 45m,6.1,2.5K
Breakup Season,Comedy,1h 42m,5.8,301
Nuked,Comedy,1h 26m,8.1,39
Bad Newz,Comedy,2h 22m,4.7,26K
U Are the Universe,Comedy,1h 30m,7.8,227
Camp Crasher,Comedy,1h 35m,5.4,764
Funny Birds,Comedy,1h 37m,5.6,218
Marcello Mio,Comedy,2h,5.9,854
Dog on Trial,Comedy,1h 23m,6.1,544
Meet Me Next Christmas,Comedy,1h 45m,5.7,8.4K
Shabab Albomb,Comedy,1h 45m,4.7,187
Wild Wild Punjab,Comedy,1h 49m,6.2,15K
Pilot,Comedy,1h 50m,6.2,742
Kidnapping Inc.,Comedy,1h 47m,6.6,223
Alien Country,Comedy,1h 36m,4.4,347
Staycation,Comedy,1h 34m,7.2,100
The Throwback,Comedy,1h 36m,5.5,338
Divorce,Comedy,1h 31m,5.8,729
Destroy All Neighbors,Comedy,1h 25m,5.3,2K
ClearMind,Comedy,1h 25m,4.1,2.2K
Una Pequeña Confusion,Comedy,1h 47m,6.2,196
A Sudden Case of Christmas,Comedy,1h 31m,5.1,1.1K
Rockbottom,Comedy,1h 22m,7.4,81
Dear Paris,Comedy,1h 48m,5.6,298
Tim Travers & the Time Travelers Paradox,Comedy,1h 35m,6.9,273
A Hip Hop Story,Comedy,1h 30m,8.8,104
Yolo,Comedy,2h 9m,6.9,3.6K
Baby Assassins: Nice Days,Comedy,1h 43m,7.4,262
Suckers,Comedy,1h 7m,3.2,116
Holy Cash,Comedy,1h 34m,7.5,22
The Roast of Tom Brady,Comedy,2h 59m,7.2,5.8K
About Family,Comedy,1h 46m,7.9,98
Empire Waist,Comedy,1h 37m,6.6,163
La casa,Comedy,1h 23m,7,899
Rob N Roll,Comedy,1h 38m,6.1,1.4K
The Holiday List,Comedy,1h 25m,4.3,194
Noah's Ark,Comedy,1h 36m,4.3,622
Mascarpone: The Rainbow Cake,Comedy,1h 45m,6.1,474
White Snake: Afloat,Comedy,2h 13m,6.9,426
Another Cabin in the Woods Movie,Comedy,1h 17m,4.8,186
Seven Cemeteries,Comedy,1h 24m,4.4,486
Transilvanian Ninja,Comedy,1h 30m,5.3,99
Nado snimat filmy o lyubvi,Comedy,1h 13m,7.8,29
Jamais sans mon psy,Comedy,1h 31m,5,175
Murder Mubarak,Comedy,2h 20m,5.8,51K
Un mondo a parte,Comedy,1h 53m,6.5,1.2K
Citizen of a Kind,Comedy,1h 54m,6.7,765
Kid Santa,Comedy,N/A,N/A,N/A
Vaazha: Biopic of a Billion Boys,Comedy,2h 5m,7.3,3.9K
The Yorkie Werewolf,Comedy,N/A,6.5,58
Triumph,Comedy,1h 38m,6.4,104
Stress Positions,Comedy,1h 35m,5,605
La Familia,Comedy,N/A,7.5,33
De mannenmaker,Comedy,N/A,5.5,181
Auction,Comedy,1h 31m,6.4,854
Ajosepo,Comedy,2h 14m,8.6,51
Almost Paradise,Comedy,2h,6.5,528
No Pressure,Comedy,1h 51m,5.1,1.1K
Victory,Comedy,2h,6.4,212
This Life of Mine,Comedy,1h 39m,5.5,206
Perfect Endings,Comedy,1h 40m,5.5,181
Behuli from Meghauli,Comedy,N/A,8.1,970
Disaster Holiday,Comedy,1h 33m,4.8,664
Killer Body Count,Comedy,1h 49m,4.7,628
Blackout,Comedy,2h 2m,6.1,10K
Jack in Time for Christmas,Comedy,1h 6m,4.6,1K
Lucky Winners,Comedy,1h 43m,6.2,1.4K
Marry Christmas,Comedy,1h 25m,6.9,57
Jamie Foxx: What Had Happened Was...,Comedy,1h 8m,5.8,2K
Chico Bento e a Goiabeira Maraviosa,Comedy,1h 30m,7.8,451
The Lifeguards,Comedy,1h 47m,3.9,134
L'amore e altre seghe mentali,Comedy,1h 28m,5.2,146
Say a Little Prayer,Comedy,1h 43m,8.4,41
Bonus Trip,Comedy,1h 53m,4.5,215
Cocaine Werewolf,Comedy,1h 20m,2.3,295
Living Large,Comedy,1h 20m,7.8,97
"Nosotros, los De la Fe",Comedy,1h 58m,7.9,47
Corina,Comedy,1h 36m,7.6,269
Books & Drinks,Comedy,1h 34m,6.7,70
The Book of Jobs,Comedy,1h 30m,N/A,N/A
A Vilã das Nove,Comedy,1h 43m,6.7,48
Kangaroo Island,Comedy,1h 53m,7.5,24
Deaner '89,Comedy,1h 30m,5.9,410
Something's More Than One Thing,Comedy,1h 50m,9,90
Alles Fifty Fifty,Comedy,1h 53m,6.3,397
The Private Eye,Comedy,1h 55m,3.8,122
I Am Kathalan,Comedy,1h 55m,6.8,969
U Pana Boga w Królowym Moscie,Comedy,2h 12m,4.2,126
A Little Family Drama,Comedy,1h 27m,8.8,155
Panda Bear in Africa,Comedy,1h 24m,5.5,303
Guruvayoor Ambalanadayil,Comedy,2h 12m,6.6,4.5K
À l'ancienne,Comedy,1h 29m,4.5,238
